id;original_title;popularity;budget;revenue;genres;vote_count;vote_average;tagline;runtime;release_date
13550;The Changeling;9.302;0;12000000;Horror;249;7.0;Whatever you do… Don't go into the attic;103;1980-03-28
14475;Used Cars;9.827;8000000;11715321;Action|Comedy;105;6.4;Like new, great looking and fully loaded with laughs.;113;1980-07-11
6028;The Mirror Crack'd;7.306;0;11000000;Crime|Thriller|Mystery;82;6.1;Mirror, mirror on the wall, who is the murderer among them all?;105;1980-09-19
35101;The Last Flight of Noah's Ark;2.829;0;11000000;Adventure|Family;24;5.7;Lost. 2,000 miles at sea in a 40 year old bomber.;97;1980-06-24
14460;Battle Beyond the Stars;6.929;2000000;11000000;Science Fiction;80;5.6;A battle beyond time, beyond space.;104;1980-09-08
11337;Stardust Memories;8.44;10000000;10389003;Comedy|Drama|Romance;194;7.1;;89;1980-09-26
365455;天平の甍;0.6;0;10300000;History;0;0.0;;120;1980-01-26
21879;The Hollywood Knights;6.665;2500000;10000000;Comedy;27;6.3;Beverly Hills and the civilized world will never forget them.;91;1980-05-30
38985;Sorcerer;10.528;12000000;9000000;Adventure|Thriller;176;7.4;The only wages worth running for, dying for, killing for, are the wages of fear;122;1977-06-24
31603;The Formula;3.32;0;8894289;Thriller;14;5.7;Big Oil. Big Money. Big Mystery. Everyone’s out to make a killing.;117;1980-01-01
16121;The Big Red One;6.462;4500000;7206220;Drama|War;137;6.9;Only chance could have thrown them together. Now, nothing can pull them apart.;113;1980-05-28
24575;Raise the Titanic;4.186;36000000;7000000;Adventure;38;5.4;They've found the Titanic. There's just one thing left to do...;115;1980-01-01
11684;La Cage aux folles II;3.006;0;6950125;Comedy;49;5.9;;101;1980-12-10
13005;Where the Buffalo Roam;5.286;0;6659377;Comedy|Drama|History;78;6.2;This ain't no safari- it's a party;99;1980-04-25
47876;Little Miss Marker;4.061;0;6321392;Comedy|Drama|Family|Romance;19;6.1;A wildly romantic comedy about a cookie, a bookie, and the kid they bet their hearts on.;103;1980-03-21
54287;Hangar 18;5.997;0;6000000;Action|Science Fiction|Thriller;34;5.4;It started with an accident in space . . . and led to the terrifying secret in . . . HANGAR 18;97;1980-07-01
762;Monty Python and the Holy Grail;23.047;400000;5028948;Adventure|Comedy|Fantasy;3293;7.8;And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.;91;1975-05-25
16026;Sällskapsresan eller Finns det svenskt kaffe på grisfesten;3.856;0;5010362;Comedy;45;6.3;;107;1980-08-22
21970;The Watcher in the Woods;5.352;0;5000000;Fantasy|Horror|Science Fiction|Thriller;65;6.3;Scared of going into the woods? You should be ...;83;1980-04-17
33155;Galaxina;4.147;5500000;4865000;Comedy|Science Fiction;29;4.3;She's too good to be true...and too real to be otherwise.;95;1980-06-06
32020;Foxes;6.827;0;4400000;Drama|Thriller;34;5.7;Daring to do it!;106;1980-02-29
92323;Willie and Phil;1.12;5500000;4400000;;1;5.0;What is this thing called love;115;1980-08-15
10889;Gloria;6.768;0;4059673;Drama|Thriller|Crime;76;6.9;And she's out to beat the mob at their own game.;123;1980-10-01
98864;Resurrection;4.456;0;3910019;Drama|Fantasy;15;6.4;It's not supposed to happen. So be there when it does.;103;1980-09-26
47942;When Time Ran Out...;4.678;20000000;3763988;Action|Adventure|Drama|Thriller;28;6.6;Caught in a game of power. Playing time: 24 hours. Prizes: Untold wealth. Rules: None.;121;1980-03-28
11837;Watership Down;9.04;1000000;3713768;Adventure|Animation|Drama;328;7.2;All the world will be your enemy, Prince with a Thousand Enemies, and when they catch you, they will kill you... but first they must catch you.;88;1978-10-14
10935;Heaven's Gate;8.384;44000000;3484331;Drama|Western;130;6.7;The only thing greater than their passion for America... was their passion for each other.;219;1980-11-19
390253;North Sea Hijack;4.632;0;2993772;Action;39;6.2;When the next 12 hours could cost you 1,000 million pounds and 600 lives you need a man who lives second by second;100;1980-02-18
21028;Москва слезам не верит;4.641;900000;2500000;Drama|Comedy|Romance;92;7.9;;142;1980-02-11
80310;Barnens ö;5.23;0;2110516;Drama|Family|Romance;7;6.9;Based on the 1976 popular children’s Novel “Children’s Island” by P.C.Jersilds;118;1980-12-25
31112;Bon Voyage, Charlie Brown (and Don't Come Back!);3.472;0;2013193;Animation|Comedy|Family;33;6.7;Travel with the PEANUTS gang on their first overseas adventure;75;1980-05-30
29056;The Raven;6.284;350000;1499275;Comedy|Fantasy|Horror;102;6.5;The Macabre Masterpiece of Terror!;86;1963-01-25
16124;Goodbye Pork Pie;2.913;300000;1400000;Adventure|Comedy;11;6.9;;105;1981-02-05
15724;鬼打鬼;2.823;0;731753;Action|Horror|Fantasy|Comedy;30;6.4;;102;1980-12-24
114051;Navajeros;1.426;0;680224;Crime|Drama;12;6.5;;95;1980-10-06
28482;Supersonic Man;2.097;0;519204;Adventure|Comedy|Fantasy;11;3.2;;88;1979-11-01
184979;Banker Bilo;1.963;85000;243000;Drama|Comedy;21;7.2;Bilo and his friends made an agreement with Maho to go to Germany;85;1980-01-01
189888;The Baltimore Bullet;1.921;0;215498;Comedy|Crime|Drama;3;6.0;Hide your women. Lock up your cash. Billie Joe & the Baltimore Bullet are on their way!;103;1980-03-31
3782;生きる;10.81;0;55240;Drama;426;8.4;A big story of a little man which will grip your soul ...;143;1952-10-09
643;Броненосец Потёмкин;11.133;0;45100;Drama|History;515;7.6;Revolution is the only lawful, equal, effectual war. It was in Russia that this war was declared and begun.;75;1925-12-21
121367;癲螳螂;3.031;0;25309;Action;3;8.0;Mad, Bad and Insane;93;1980-01-03
337434;Cocaína;0.832;0;8832;Drama|Comedy;0;0.0;;None;1980-01-01
19267;The Big Brawl;6.295;0;854;Action|Comedy;59;5.8;Where the only rule is to stay alive.;95;1980-09-10
216598;O Torturador;0.6;0;98;Action|Crime;1;5.0;;98;1980-05-19
85548;Windwalker;3.138;0;18;Adventure|Drama|Western;7;5.7;He conquered love and death...now he walks the winds of eternity!;108;1980-12-12
543448;How to Be a Detective;0.6;0;7;;0;0.0;;None;1980-06-01
556267;Τώρα Θέλω... Τώρα!;0.6;0;0;;1;10.0;;101;1980-01-01
536316;Rita Lee Jones;0.6;0;0;TV Movie|Music;1;10.0;Grandes nomes;60;1980-11-07
517885;Fatehpur Sikri;0.6;0;0;;1;10.0;;9;1980-01-01
515832;Ganga aur Suraj;0.62;0;0;;1;10.0;;None;1980-01-01
458457;Igraszki z diabłem;0.6;0;0;;1;10.0;;None;1980-01-14
456653;Næste stop paradis;0.6;0;0;Comedy;1;10.0;;None;1980-11-17
456325;Kaptajn Klyde og hans venner vender tilbage;1.12;0;0;Family;1;10.0;;None;1980-12-26
455445;Undskyld vi er her;0.6;0;0;Comedy;2;10.0;;None;1980-12-26
450405;İstintaq;0.661;0;0;Crime|Drama;1;10.0;;86;1979-02-18
442583;Vámmentes házasság;0.625;0;0;Romance|Drama|Comedy;1;10.0;;96;1980-02-19
436435;Bandish;1.12;0;0;Music;1;10.0;;125;1980-01-11
430803;Bacanal;1.4;0;0;Crime|Romance;1;10.0;;93;1980-12-17
428043;Visul unei nopti de iarna;0.6;0;0;Comedy|Romance;2;10.0;;103;1980-01-01
427789;Plogoff, des pierres contre des fusils;0.6;0;0;Documentary;1;10.0;;110;1980-11-19
427777;Otec ma zderie tak, či tak;0.87;0;0;Family|Comedy;1;10.0;;None;1980-01-01
416766;Bob Marley: Uprising Live!;0.62;0;0;Music;1;10.0;;None;1980-06-13
414406;Sådan er jeg osse;0.873;0;0;Drama;1;10.0;;103;1980-02-29
400833;Nakaw na Pag-ibig;0.6;0;0;;1;10.0;I love you even it it's wrong. Every moment with you is heaven.;99;1980-01-25
399602;Καθένας Με Την Τρέλλα Του...;0.6;0;0;Comedy;1;10.0;;113;1980-01-01
399587;Čas pracuje pro vraha;0.6;0;0;Crime;1;10.0;;None;1980-02-01
391994;뻐꾸기도 밤에 우는가;0.6;0;0;Drama;1;10.0;;120;1980-03-01
377268;Danmark er lukket;0.6;0;0;Drama;1;10.0;;None;1980-10-31
370895;Whitcomb's War;0.6;0;0;Drama|Comedy;1;10.0;;67;1980-06-15
368064;Eat to the Beat;0.956;0;0;Music;1;10.0;;44;1980-10-01
357787;Return of Silver Head;0.6;0;0;;1;10.0;;21;1980-01-02
357782;Victory Thru Film Power;0.87;0;0;;1;10.0;;3;1980-01-02
338644;Abdullah;0.873;0;0;;1;10.0;;None;1980-03-07
336172;Brutal;0.6;0;0;Drama;1;10.0;They tell you what it is like to dull the pains of growingup..;105;1980-12-25
334296;Kasal?;0.6;0;0;;1;10.0;Is the one you love the one you marry?;94;1980-06-19
330050;Kvindesind;0.6;0;0;Drama;1;10.0;;73;1980-04-07
324163;Øjeblikket;0.6;0;0;Drama;1;10.0;;None;1980-10-06
301513;あしたのジョー 劇場版;1.17;0;0;Action|Animation|Drama;2;10.0;Never give up!;153;1980-03-08
297625;Skateboard Madness;0.6;0;0;Comedy|Documentary;1;10.0;;92;1980-09-15
279040;Urutoraman Eiteî;0.6;0;0;Fantasy|Action;1;10.0;Ultraman 80, disguised as mild-mannered schoolteacher Takeshi Yamato, defends the Earth from ferocious giant monsters, which are the result of negative energy from human anger.;1200;1980-01-01
276836;Apetaxamin;0.6;0;0;;2;10.0;;25;1980-06-15
267460;Journeys from Berlin/1971;0.6;0;0;Drama;2;10.0;;125;1980-01-11
265895;Zui she xiao zi;0.6;0;0;Action;1;10.0;;85;1980-06-11
238664;White Mama;1.8;0;0;TV Movie|Drama;1;10.0;;105;1980-03-05
195168;O Fotógrafo;0.6;0;0;Drama;1;10.0;;90;1980-08-24
177599;Social Life of Small Urban Spaces;1.217;0;0;;2;10.0;;58;1980-01-01
161517;Attentat;1.486;0;0;Drama;1;10.0;;None;1980-08-28
155762;Verden er fuld af børn;0.6;0;0;Drama;1;10.0;;93;1980-02-08
147002;XIX saukunis qartuli qronika;0.87;0;0;Drama;1;10.0;;76;1979-12-16
137057;Goldflocken;1.4;0;0;;2;10.0;;163;1976-05-20
74068;Kavik The Wolf Dog;0.623;0;0;Adventure|Action|Drama;1;10.0;A boy and his sled dog against the elements.;100;1980-01-01
54322;Regarde, elle a les yeux grands ouverts;1.172;0;0;Documentary;1;10.0;;77;1980-01-01
72803;SPFX: The Empire Strikes Back;2.794;0;0;Documentary;6;9.7;;48;1980-09-22
450845;Orgia das Taras;0.6;0;0;Crime;2;9.5;;82;1980-04-06
375672;Bruce Springsteen - The Ties That Bind - Documentary;0.6;0;0;Music;1;9.5;;60;1980-11-05
361116;Zappatore;1.4;0;0;Drama;4;9.1;;None;1980-01-09
544809;Me Olvidé de Vivir;0.6;0;0;;1;9.0;;None;1980-03-13
445741;Tara das Cocotas na Ilha do Pecado;0.9;0;0;Adventure;2;9.0;;None;1980-03-08
440694;Corpo Devasso;0.6;0;0;Drama;1;9.0;;84;1980-02-08
430603;Revival Of Evil;0.9;0;0;Documentary|Documentary;2;9.0;See candid shots inside Anton LaVey's First Church of Satan.;50;1980-01-01
429588;Die Kinder aus Nr. 67;0.6;0;0;Drama;2;9.0;;103;1980-04-11
373422;Jingi naki tatakai: Sôshûhen;0.6;0;0;Action|Crime|Drama|Thriller;2;9.0;;224;1980-04-05
371640;A Strange Harvest;0.947;0;0;Documentary;2;9.0;;57;1980-11-12
354851;The Blood of Hussain;0.6;0;0;Drama;2;9.0;;112;1980-08-16
344884;The Silk Road;0.6;0;0;Documentary;1;9.0;;540;1980-04-07
266938;Двойникът;0.732;0;0;Comedy;4;9.0;;98;1980-03-17
259034;巴山夜雨;0.6;0;0;Drama;1;9.0;;86;1980-03-12
118267;El diminuto mundo de David el Gnomo;0.6;0;0;;2;9.0;;75;1980-01-01
115161;Fish Heads;0.658;0;0;TV Movie|Music;2;9.0;;5;1980-01-01
107406;Oscenità;1.241;0;0;Drama;2;9.0;;84;1980-02-14
66406;வறுமையின் நிறம் சிவப்பு;1.4;0;0;Drama;2;9.0;;144;1980-11-06
146034;Manila by Night;0.742;0;0;Drama;4;8.8;;150;1980-11-28
77847;Der Baulöwe;0.945;0;0;Comedy;2;8.8;;87;1980-06-05
157737;Zübük;1.736;0;0;Comedy;15;8.7;;79;1980-09-11
477037;Bella;0.6;0;0;Drama|Romance;3;8.7;;85;1980-08-10
284437;Rhubarb Rhubarb;0.6;0;0;;3;8.7;;28;1980-12-15
40742;George & Mildred;3.543;0;0;Comedy;24;8.7;She's still trying to steer him towards romance. He still doesn't know what she's driving at.;93;1980-10-10
485213;The Making of The Empire Strikes Back;1.078;0;0;Documentary;2;8.5;;59;1980-09-22
398334;魔犬ライナー００１１変身せよ!;0.6;0;0;Animation|Science Fiction;1;8.5;;50;1972-07-16
392663;The Trouble with Miss Switch;0.678;0;0;Animation|Fantasy|TV Movie;1;8.5;;42;1980-02-16
292015;Rape and Marriage: The Rideout Case;1.373;0;0;Drama|TV Movie;1;8.5;;96;1980-10-29
265345;Skyward;0.6;0;0;;2;8.5;;100;1980-11-20
259975;Belle Starr;1.16;0;0;Western;2;8.5;;97;1980-03-31
178881;The Black Stuff;0.737;0;0;;4;8.5;;110;1980-01-02
175066;ヤマトよ永遠に;1.52;0;0;Drama|Science Fiction|Action|Animation;2;8.5;;145;1980-08-01
169610;Heartland Reggae;1.749;267;0;Music|Documentary;1;8.5;;90;1980-03-04
78009;غاوي مشاكل;0.6;0;0;Drama|Comedy|Romance;1;8.5;;110;1980-07-19
345130;Les trois inventeurs;1.754;0;0;Animation;15;8.4;;13;1980-06-06
179519;Nea Mărin miliardar;1.953;0;0;Comedy;16;8.4;;88;1979-02-05
64220;Pile ou face;0.729;0;0;Drama|Crime|Thriller;4;8.4;;105;1980-08-30
195484;O Convite ao Prazer;0.84;0;0;Drama;3;8.3;;109;1980-02-08
50934;Pinocchio's Christmas;1.301;0;0;Family|Animation;3;8.3;;49;1980-12-03
20914;Amici miei;9.184;0;0;Comedy;343;8.3;;140;1975-06-06
14537;切腹;11.204;0;0;Action|Drama|History;289;8.3;The world has never understood why the Japanese prefer death to dishonor! Winner of Prix Special du Jury at Cannes 1963 provides the answer!!;135;1962-09-15
1398;Сталкер;13.997;0;0;Science Fiction|Drama;820;8.3;;163;1979-04-16
95026;Dialogue with a Woman Departed;2.237;0;0;Documentary;4;8.3;;225;1980-12-31
50125;AC/DC: Let There Be Rock;2.399;0;0;Music;12;8.3;;95;1980-09-14
30079;Hou hsing kou shou;1.364;0;0;Action|Drama;4;8.3;;100;1979-02-15
803;Nuit et brouillard;7.211;0;0;History|Documentary|War;198;8.2;;32;1960-10-20
273196;La nuit claire;1.088;0;0;Fantasy|Drama;5;8.2;;85;1978-10-29
81195;Le Voyage en douce;2.55;0;0;Drama;5;8.2;Whant woman talk about when men aren't around;98;1980-01-04
190213;Aakrosh;0.96;0;0;Drama;4;8.1;Cry of the Wounded;144;1980-01-01
17909;Ko to tamo peva;4.64;120000;0;Drama|Comedy|Adventure;53;8.1;;86;1980-01-01
198500;Constans;1.102;0;0;Drama;10;8.1;;98;1980-06-04
11712;椿三十郎;12.467;0;0;Drama|Action|Comedy;235;8.1;Akira Kurosawa's Powerful and Newest Japanese Masterpiece;96;1962-01-01
126854;Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра;1.4;0;0;Crime|Mystery;17;8.1;;65;1980-03-01
206789;হীরক রাজার দেশে;0.908;0;0;Comedy;10;8.1;;118;1980-12-18
614216;Белый снег России;0.6;0;0;Drama;1;8.0;;91;1980-12-01
602116;Копилка;0.6;0;0;Comedy;1;8.0;;None;1980-01-01
584924;Dadar Kirti;0.6;0;0;;1;8.0;;154;1980-11-28
550357;Ett drömspel;0.6;0;0;;1;8.0;;135;1980-11-30
524162;Qayınana;0.6;0;0;Music|Comedy;2;8.0;;75;1978-12-03
515129;Pete!;0.6;0;0;Documentary|Music;1;8.0;New Orleans' own Pete Fountain - the greatest jazz clarinetist alive.;59;1980-08-24
513604;اذكياء لكن اغبياء;0.6;0;0;Comedy;1;8.0;Smart But Ediots;100;1980-04-14
484216;Контрольная полоса;0.6;0;0;Adventure;1;8.0;;None;1980-10-30
482396;Lake Placid '80;0.6;0;0;;1;8.0;;4;1980-01-01
480092;Главный конструктор;0.6;0;0;Drama;1;8.0;;130;1980-10-05
451548;Hansa Vilak;0.6;0;0;Drama;1;8.0;;110;1980-04-09
437602;Sweet Love Remembered;0.62;0;0;;1;8.0;;14;1980-01-27
403696;L'automne;0.84;0;0;Drama;5;8.0;;75;1972-07-05
402588;Angel on My Shoulder;1.049;0;0;Drama|Fantasy;1;8.0;;100;1980-05-11
393092;Give Trees a Chance: The Story of Terania Creek;0.6;0;0;;1;8.0;;46;1980-01-01
392138;Частное лицо;0.6;0;0;Mystery;2;8.0;;None;1980-11-15
390017;O lacrimă de fată;0.722;0;0;Drama;3;8.0;;83;1980-03-26
388774;Ordnung;0.6;0;0;Drama;1;8.0;;None;1980-03-19
366120;Red Rose;0.6;0;0;Drama|Horror|Thriller;1;8.0;;125;1980-05-23
363666;매권;0.62;0;0;Action;1;8.0;;95;1980-09-05
360143;Ge...er (Gede Rasa);0.6;0;0;Comedy;1;8.0;;109;1980-01-01
356820;Vreme, vodi Време, води;0.62;0;0;Drama;1;8.0;;135;1980-01-01
355559;ശാലിനി എന്‍റെ  കൂട്ടുകാരി;0.664;0;0;Drama|Romance;1;8.0;;130;1980-03-21
349648;Act of Being Polite;0.6;0;0;Music;2;8.0;;1;1980-01-01
332418;Othello;0.6;0;0;Drama|Romance;1;8.0;;115;1980-01-01
283124;Petrijin venac;0.732;0;0;Drama;2;8.0;;99;1980-01-01
278481;気　Breathing;0.658;0;0;;2;8.0;;29;1980-07-11
274748;Getting Wasted;0.6;0;0;Comedy;1;8.0;"What we have here is bad craziness and a total disrespect for authority.";98;1980-01-01
268979;The Flintstones' New Neighbors;0.959;0;0;Family|Animation|Comedy;2;8.0;;30;1980-09-26
266932;Дами канят;0.71;0;0;Comedy;4;8.0;;95;1980-12-15
256881;The Obsession of Billy Botski;0.6;0;0;;1;8.0;;24;1980-01-01
254354;Yong zheng yu nian geng yao;0.6;0;0;Action;1;8.0;;86;1980-09-04
246032;Rycerz;1.073;0;0;Fantasy|Adventure|Drama;3;8.0;;81;1980-10-06
242733;Charleen or How Long Has This Been Going On?;0.6;0;0;Documentary;1;8.0;;54;1980-01-01
234941;震える舌;0.707;0;0;Drama|Horror;1;8.0;;114;1980-11-22
229522;Sex and the Other Woman;1.303;0;0;Comedy|Romance;2;8.0;;80;1972-12-30
220534;Death of a Princess;0.6;0;0;Drama|Mystery|Documentary;2;8.0;;115;1980-04-09
220415;Snuden 1 - Snuden rejser hjemmefra;0.62;0;0;Animation;1;8.0;;17;1980-01-01
219566;Star Wars: Music by John Williams;1.337;0;0;Documentary|Music;2;8.0;;60;1980-05-18
219278;四季・奈津子;1.311;0;0;Romance|Drama;3;8.0;;120;1980-08-06
208908;影の軍団　服部半蔵;0.623;0;0;Action|War|Drama;1;8.0;Eiichi Kudo's strangest film that started the Shadow Warriors ball rolling;133;1980-02-23
