Theaters,Indoor ,Drive in,Total
2019,"5,548",321,"5,869"
2018,"5,482",321,"5,803"
2017,"5,398",349,"5,747"
2016,"5,472",349,"5,821"
2015,"5,484",349,"5,833"
2014,"5,463",393,"5,856"
2013,"5,326",393,"5,719"
2012,"5,317",366,"5,683"
2011,"5,331",366,"5,697"
2010,"5,399",374,"5,773"
2009,"5,561",381,"5,942"
2008,"5,403",383,"5,786"
2007,"5,545",383,"5,928"
2006,"5,543",396,"5,939"
2005,"5,713",401,"6,114"
2004,"5,629",402,"6,031"
2003,"5,700",400,"6,100"
2002,"5,712",432,"6,144"
2001,"5,813",440,"6,253"
2000,"6,550",442,"6,992"
1999,"7,031",446,"7,477"
1998,"6,894",524,"7,418"
1997,"6,903",577,"7,480"
1996,"7,215",583,"7,798"
1995,"7,151",593,"7,744"
