,imdb,rt,bm,imdb_rating,release_date,budget,critic_score_rt,audience_score_rt,theaters,opening_weekend_usa,gross_usa,gross_worldwide
Ant-Man,https://www.imdb.com/title/tt0478970/,https://www.rottentomatoes.com/m/antman,https://www.boxofficemojo.com/release/rl88245761/?ref_=bo_shs_sd,7.3, 17 July 2015 (USA),130000000.0,83%,86%,3868.0,57225526.0,180202163.0,519311965.0
Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/,https://www.rottentomatoes.com/m/ant_man_and_the_wasp,https://www.boxofficemojo.com/release/rl2088535553/,7.1, 6 July 2018 (USA),162000000.0,88%,76%,4206.0,75812205.0,216648740.0,622674139.0
Aquaman,https://www.imdb.com/title/tt1477834/,https://www.rottentomatoes.com/m/aquaman_2018,https://www.boxofficemojo.com/movies/?id=dcfilm0617.htm,7.0, 21 December 2018 (USA),160000000.0,66%,75%,4184.0,67873522.0,335061807.0,1148161807.0
Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/,https://www.rottentomatoes.com/m/marvels_the_avengers_2,https://www.boxofficemojo.com/release/rl675644929/,7.3, 1 May 2015 (USA),250000000.0,75%,83%,4276.0,191271109.0,459005868.0,1402805868.0
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,https://www.rottentomatoes.com/m/avengers_endgame,https://www.boxofficemojo.com/movies/?id=marvel2019.htm,8.5, 26 April 2019 (USA),356000000.0,94%,90%,4662.0,357115007.0,858373000.0,2797800564.0
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,https://www.rottentomatoes.com/m/avengers_infinity_war,https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_at_a,8.5, 27 April 2018 (USA),321000000.0,85%,91%,4474.0,257698183.0,678815482.0,2048359754.0
Batman,https://www.imdb.com/title/tt0096895/,https://www.rottentomatoes.com/m/1001781-batman,https://www.boxofficemojo.com/movies/?id=batman.htm,7.5, 23 June 1989 (USA),35000000.0,72%,84%,2201.0,40489746.0,251348343.0,411556825.0
Batman & Robin,https://www.imdb.com/title/tt0118688/,https://www.rottentomatoes.com/m/1077027_batman_and_robin,https://www.boxofficemojo.com/release/rl3561326081/,3.7, 20 June 1997 (USA),125000000.0,11%,16%,2942.0,42872605.0,107353792.0,238235915.0
Batman Begins,https://www.imdb.com/title/tt0372784/,https://www.rottentomatoes.com/m/batman_begins,https://www.boxofficemojo.com/release/rl3510994433/,8.2, 15 June 2005 (USA),150000000.0,84%,94%,3858.0,48745440.0,206852432.0,373413297.0
Batman Forever,https://www.imdb.com/title/tt0112462/,https://www.rottentomatoes.com/m/batman_forever,https://www.boxofficemojo.com/movies/?id=batmanforever.htm,5.4, 16 June 1995 (USA),100000000.0,39%,32%,2893.0,52784433.0,184069126.0,336567531.0
Batman Returns,https://www.imdb.com/title/tt0103776/,https://www.rottentomatoes.com/m/batman_returns,https://www.boxofficemojo.com/movies/?id=batmanreturns.htm,7.0, 19 June 1992 (USA),80000000.0,79%,73%,2644.0,16071282.0,162902340.0,266903053.0
Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/,https://www.rottentomatoes.com/m/batman_v_superman_dawn_of_justice,https://www.boxofficemojo.com/movies/?id=superman2015.htm,6.5, 25 March 2016 (USA),250000000.0,28%,63%,4256.0,166007347.0,330360194.0,873634919.0
Black Panther,https://www.imdb.com/title/tt1825683/,https://www.rottentomatoes.com/m/black_panther_2018/,https://www.boxofficemojo.com/release/rl2992866817,7.3, 16 February 2018 (USA),200000000.0,97%,79%,4084.0,202003951.0,700059566.0,1346913161.0
Blade,https://www.imdb.com/title/tt0120611/,https://www.rottentomatoes.com/m/1083484-blade,https://www.boxofficemojo.com/movies/?id=blade.htm,7.1, 21 August 1998 (USA),45000000.0,54%,78%,2389.0,17073856.0,70087718.0,131183530.0
Blade II,https://www.imdb.com/title/tt0187738/,https://www.rottentomatoes.com/m/blade_2_bloodhunt,https://www.boxofficemojo.com/movies/?id=blade2.htm,6.7, 22 March 2002 (USA),54000000.0,57%,68%,2707.0,32528016.0,82348319.0,155010032.0
Blade: Trinity,https://www.imdb.com/title/tt0359013/,https://www.rottentomatoes.com/m/blade_trinity,https://www.boxofficemojo.com/movies/?id=blade3.htm,5.9, 8 December 2004 (USA),65000000.0,26%,59%,2912.0,16100000.0,52411906.0,129241130.0
Captain America,https://www.imdb.com/title/tt0103923/,https://www.rottentomatoes.com/m/captain-america1990,https://www.boxofficemojo.com/release/rl1900578305/,3.2, 26 July 1991 (USA),10000000.0,7%,16%,3715.0,,,
Captain America: Civil War,https://www.imdb.com/title/tt3498820/,https://www.rottentomatoes.com/m/captain_america_civil_war,https://www.boxofficemojo.com/release/rl2563409665/weekend/,7.8, 6 May 2016 (USA),250000000.0,91%,89%,1990.0,179139142.0,408084349.0,1153296293.0
Captain America: The First Avenger,https://www.imdb.com/title/tt0458339/,https://www.rottentomatoes.com/m/captain_america_the_first_avenger,https://www.boxofficemojo.com/movies/?id=captainamerica.htm,6.9, 22 July 2011 (USA),140000000.0,80%,74%,3715.0,65058524.0,176654505.0,370569774.0
Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/,https://www.rottentomatoes.com/m/captain_america_the_winter_soldier_2014,https://www.boxofficemojo.com/release/rl3194193409/,7.7, 4 April 2014 (USA),170000000.0,90%,92%,3938.0,95023721.0,259766572.0,714421503.0
Captain Marvel,https://www.imdb.com/title/tt4154664/,https://www.rottentomatoes.com/m/captain_marvel,https://www.boxofficemojo.com/movies/?id=marvel2018a.htm,6.9, 8 March 2019 (USA),175000000.0,78%,52%,4310.0,153433423.0,426829839.0,1128274794.0
Catwoman,https://www.imdb.com/title/tt0327554/,https://www.rottentomatoes.com/m/catwoman,https://www.boxofficemojo.com/movies/?id=catwoman.htm,3.3, 23 July 2004 (USA),100000000.0,9%,18%,3117.0,16728411.0,40202379.0,82102379.0
Constantine,https://www.imdb.com/title/tt0360486/,https://www.rottentomatoes.com/m/constantine,https://www.boxofficemojo.com/release/rl3511322113/,7.0, 18 February 2005 (USA),100000000.0,46%,72%,3006.0,29769098.0,75976178.0,230884728.0
